City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,solnechnogorsk,56.1833,36.9833,44.44,95,100,9.64,RU,1680114652
142,murakami,38.2333,139.4833,38.62,57,0,3.78,JP,1680114948
143,tuktoyaktuk,69.4541,-133.0374,-5.8,77,0,8.05,CA,1680114949
144,arraial do cabo,-22.9661,-42.0278,85.96,61,0,20.71,BR,1680114949
145,harlingen,26.1906,-97.6961,67.91,85,100,11.5,US,1680114615
146,strezhevoy,60.7333,77.5889,9.9,94,79,6.55,RU,1680114949
147,redlands,34.0556,-117.1825,52.2,88,100,8.05,US,1680114949
148,astoria,46.1879,-123.8313,49.86,95,100,3.44,US,1680114949
149,moramanga,-18.9333,48.2,65.44,99,100,1.97,MG,1680114950
150,tabou,4.423,-7.3528,81.27,83,13,9.86,CI,1680114950
151,rawson,-43.3002,-65.1023,61.09,18,0,23.02,AR,1680114655
152,whyalla,-33.0333,137.5833,61.88,70,48,7.85,AU,1680114950
153,sao joao da barra,-21.6403,-41.0511,86.09,73,100,9.46,BR,1680114950
154,jiuquan,39.7432,98.5174,47.08,24,100,4.21,CN,1680114951
155,san roque,36.2107,-5.3842,61.63,77,0,8.05,ES,1680114951
156,daru,-9.0763,143.2092,78.04,87,53,5.48,PG,1680114952
157,isangel,-19.55,169.2667,75.31,94,20,2.3,VU,1680114952
158,garchitorena,13.8804,123.6946,76.64,89,100,4.16,PH,1680114952
159,portland,45.5234,-122.6762,55.47,81,75,4.61,US,1680114812
160,puksoozero,62.5903,40.6066,33.44,89,100,11.43,RU,1680114953
161,iquitos,-3.7481,-73.2472,87.84,74,40,4.61,PE,1680114953
162,vao,-22.6667,167.4833,76.24,78,95,9.8,NC,1680114953
163,geraldton,-28.7667,114.6,73.81,78,33,21.85,AU,1680114953
164,manaure,11.7751,-72.4445,87.64,49,30,20.49,CO,1680114953
165,kharod,21.75,82.5667,87.67,25,77,3.58,IN,1680114953
166,new iberia,30.0035,-91.8187,64.4,45,100,9.22,US,1680114953
167,staphorst,52.645,6.2111,54.21,93,100,11.68,NL,1680114953
168,port elizabeth,-33.918,25.5701,61.09,77,0,19.57,ZA,1680114862
169,katsuura,35.1333,140.3,53.2,84,47,5.86,JP,1680114953
170,wewak,-3.5534,143.6268,78.98,83,99,3.8,PG,1680114954
171,marawi,7.9986,124.2928,67.68,96,90,0.96,PH,1680114954
172,pareora,-44.4871,171.2132,46.18,80,84,7.07,NZ,1680114954
173,hambantota,6.1241,81.1185,79.14,94,40,3.44,LK,1680114954
174,gazojak,41.1875,61.4036,69.84,33,4,6.82,TM,1680114954
175,youghal,51.95,-7.8506,52.81,100,88,16.11,IE,1680114954
176,slave lake,55.2834,-114.769,30.18,55,100,2.3,CA,1680114954
177,tual,-5.6667,132.75,80.58,78,100,11.63,ID,1680114954
178,bemidji,47.4736,-94.8803,22.91,42,0,11.5,US,1680114954
179,nanakuli,21.3906,-158.1547,78.75,76,20,14.97,US,1680114954
180,andros town,24.7,-77.7667,84.16,62,21,12.82,BS,1680114955
181,tonosho,34.4833,134.1833,46.83,62,69,2.19,JP,1680114955
182,kaiyuan,23.6977,103.3037,59.05,85,1,6.15,CN,1680114955
183,pszow,50.0399,18.3947,43.16,59,56,12.3,PL,1680114955
184,torbay,47.6666,-52.7314,36.39,87,100,18.41,CA,1680114952
185,peleduy,59.6289,112.7406,31.59,96,100,13.35,RU,1680114956
186,komsomolskiy,40.4272,71.7189,61.52,48,100,6.91,UZ,1680114956
187,ancona,43.55,13.1667,57.4,56,37,4.61,IT,1680114956
188,cap-aux-meules,47.3821,-61.8597,33.82,100,75,8.05,CA,1680114956
189,acapulco,16.8634,-99.8901,86.85,49,84,8.61,MX,1680114786
190,deputatskiy,69.3,139.9,-21.46,98,100,1.95,RU,1680114956
191,beloha,-25.1667,45.05,70.59,77,0,12.01,MG,1680114956
192,zhaoqing,23.0512,112.4597,61.83,96,100,1.92,CN,1680114957
193,vostok,46.4856,135.8833,31.14,78,97,6.04,RU,1680114957
194,palembang,-2.9167,104.7458,75.29,100,60,2.3,ID,1680114957
195,solano,38.2333,-121.9511,51.3,92,100,10.36,US,1680114957
196,kaitangata,-46.2817,169.8464,43.7,73,91,6.02,NZ,1680114957
197,kavaratti,10.5669,72.642,81.39,71,43,9.57,IN,1680114957
198,westport,41.1415,-73.3579,56.28,35,0,12.66,US,1680114957
199,half moon bay,37.4636,-122.4286,52.34,88,40,11.5,US,1680114958
